bin,n,mean_grade,se,ci_low,ci_high,letter,variable,bin_index
"[0,1]",984,81.44056262040235,0.49363237435243684,80.47304316667157,82.40808207413312,B-,gaming_hours,1
"(1,2]",920,82.63951812064059,0.5103015160126843,81.63932714925572,83.63970909202546,B-,gaming_hours,2
"(2,3]",970,74.76021316496413,0.5451935809164075,73.69163374636797,75.82879258356029,C,gaming_hours,3
"(3,4]",974,69.76233811534254,0.5654190683080754,68.65411674145872,70.87055948922637,D+,gaming_hours,4
"(4,5]",1020,64.48747563478503,0.5510578051571239,63.407402336677066,65.56754893289299,D,gaming_hours,5
"(5,6]",1073,60.17054547002246,0.6333041772869193,58.9292692825401,61.411821657504824,D-,gaming_hours,6
"(6,7]",1006,53.338529436616774,0.662662889371446,52.03971017344874,54.63734869978481,F,gaming_hours,7
"(7,8]",1053,45.59615830842638,0.6622683046389386,44.29811243133406,46.8942041855187,F,gaming_hours,8
"[1,2]",906,41.976016481205185,0.5483035708107651,40.901341482416086,43.050691479994285,F,study_hours,1
"(2,3]",877,47.94469525883976,0.5587560712259533,46.84953335923689,49.03985715844263,F,study_hours,2
"(3,4]",922,52.93143980541652,0.5482964510924405,51.856778761275336,54.0061008495577,F,study_hours,3
"(4,5]",922,59.32321326182875,0.5527500866273424,58.23982309203916,60.406603431618336,F,study_hours,4
"(5,6]",859,65.05450019216838,0.5616462873408986,63.95367346898021,66.15532691535654,D,study_hours,5
"(6,7]",944,72.2646440321431,0.5388722893481769,71.20845434502067,73.32083371926552,C-,study_hours,6
"(7,8]",855,80.59662473229183,0.4533130253376355,79.70813120263006,81.4851182619536,B-,study_hours,7
"(8,9]",854,86.73318854106415,0.4009752065927884,85.94727713614229,87.51909994598601,B,study_hours,8
"(9,10]",861,90.5770900570033,0.3432637737823008,89.90429306038999,91.24988705361662,A-,study_hours,9
"[4,5]",1615,58.508639450492474,0.5429859436823055,57.44438700087515,59.572891900109795,F,sleep_hours,1
"(5,6]",1606,61.777154644393484,0.5656475403269391,60.66848546535268,62.885823823434286,D-,sleep_hours,2
"(6,7]",1596,66.46666730320021,0.5379434919201743,65.41229805903667,67.52103654736375,D,sleep_hours,3
"(7,8]",1603,70.55542836254064,0.5311468521028172,69.51438053241911,71.59647619266217,C-,sleep_hours,4
"(8,9]",1580,73.26367998743474,0.5183713948506151,72.24767205352754,74.27968792134195,C,sleep_hours,5
"[60,65]",1008,61.11384519405206,0.7078003354033623,59.72655653666147,62.50113385144265,D-,attendance,1
"(65,70]",1032,63.26524131018236,0.7101517741814293,61.87334383278676,64.65713878757796,D,attendance,2
"(70,75]",1017,64.50208157054976,0.6727601202384843,63.18347173488233,65.8206914062172,D,attendance,3
"(75,80]",1001,65.52769843471616,0.6856196769230142,64.18388386794705,66.87151300148527,D,attendance,4
"(80,85]",965,67.08869006200304,0.7202590380509549,65.67698234742316,68.50039777658291,D+,attendance,5
"(85,90]",959,68.11128286156433,0.7151062973462742,66.70967451876564,69.51289120436303,D+,attendance,6
"(90,95]",1004,68.732205498279,0.6874063388381556,67.38488907415622,70.07952192240178,D+,attendance,7
"(95,100]",1014,70.50548477336336,0.6847724179520774,69.16333083417729,71.84763871254944,C-,attendance,8
"[-5,0]",108,80.94330777203663,1.4683940504548063,78.06525543314521,83.82136011092805,B-,addiction_score,1
"(0,5]",1453,80.61599339059602,0.42510913432615627,79.78277948731674,81.44920729387529,B-,addiction_score,2
"(5,10]",2439,73.02729179936865,0.3715023983899202,72.29914709852441,73.7554365002129,C,addiction_score,3
"(10,15]",2575,59.650552605418724,0.4150979840192484,58.836960556741,60.46414465409645,F,addiction_score,4
"(15,20]",1340,50.11856244015352,0.5864068358744362,48.96920504183962,51.267919838467414,F,addiction_score,5
"(20,25]",85,45.80944905074509,2.4740803376120706,40.96025158902543,50.65864651246474,F,addiction_score,6
